Gene Pair,Bin2Cell,ENACT,Xseg,16x16,08x08,02x02
RAMP2-CPA3,0.0,0.0019102196752626,0.0028288543140028,0.002375296912114,0.0,0.0
RAMP2-MS4A2,0.0,0.0,0.0007407407407407,0.0012492192379762,0.0,0.0
RAMP2-KIT,0.0005324813631522,0.0008949880668257,0.0014051522248243,0.0026892047637341,0.0007127583749109,0.0
RAMP2-IL1RL1,0.0,0.0007369196757553,0.0,0.0009208103130755,0.0,0.0
CLDN5-ADH1B,0.0006093845216331,0.0006944444444444,0.0005015045135406,0.0021626297577854,0.0004206983592763,0.0004140786749482
CLDN5-OGN,0.0,0.0008795074758135,0.0,0.0020140986908358,0.0009930486593843,0.0
CLDN5-CPA3,0.0,0.001763668430335,0.001293661060802,0.0,0.0,0.0
CLDN5-KIT,0.0009832841691248,0.0011299435028248,0.0008190008190008,0.0007363770250368,0.000709219858156,0.0
CLDN5-SLC18A2,0.0,0.001477104874446,0.0021008403361344,0.0019011406844106,0.0,0.0
CLDN5-IL1RL1,0.0,0.0,0.0,0.0014981273408239,0.0,0.0
CLDN5-RHEX,0.0034364261168384,0.0018939393939393,0.0,0.0026881720430107,0.0026666666666666,0.0
VWF-ADH1B,0.0,0.0,0.0,0.0,0.0,0.0
VWF-OGN,0.0,0.0,0.0,0.0,0.0,0.0
VWF-SFRP2,0.0,0.0054495912806539,0.0075757575757575,0.0038610038610038,0.0038610038610038,0.0
VWF-CPA3,0.0034584980237154,0.0048543689320388,0.0033277870216306,0.0079695079695079,0.0026890756302521,0.0
VWF-MS4A2,0.0009784735812133,0.003391746749576,0.0035026269702276,0.0031605562579013,0.001863354037267,0.0006079027355623
VWF-KIT,0.0,0.0016949152542372,0.0016820857863751,0.0058555627846454,0.0018785222291797,0.0
VWF-SLC18A2,0.0007112375533428,0.0020798668885191,0.0024464831804281,0.0041173443129181,0.0004962779156327,0.0004780114722753
VWF-IL1RL1,0.0013123359580052,0.0022865853658536,0.0011198208286674,0.0044883303411131,0.0017605633802816,0.0
VWF-HDC,0.0007496251874062,0.0022241992882562,0.0012523481527864,0.00416449765747,0.0010172939979654,0.0
VWF-RHEX,0.0,0.0008583690987124,0.0012706480304955,0.0010373443983402,0.0,0.0
CDH5-ADH1B,0.0014992503748125,0.0026200873362445,0.0039735099337748,0.0040733197556008,0.0030211480362537,0.0
CDH5-OGN,0.0,0.0,0.0,0.0011098779134295,0.0,0.0
CDH5-SFRP2,0.0,0.0,0.001466275659824,0.0,0.0,0.0
CDH5-CPA3,0.005181347150259,0.0068997240110395,0.00659195781147,0.0115830115830115,0.0036978341257263,0.0
CDH5-MS4A2,0.0006609385327164,0.002283105022831,0.002804262478968,0.0060034305317324,0.0004116920543433,0.0
CDH5-KIT,0.0,0.0034311856652687,0.0027352297592997,0.0043572984749455,0.0012427506213753,0.0004038772213247
CDH5-RHEX,0.0026413100898045,0.0043023970497848,0.0044033465433729,0.0081845238095238,0.001060070671378,0.0
ADH1B-CPA3,0.0,0.0009208103130755,0.0006514657980456,0.0032051282051282,0.0005117707267144,0.0
ADH1B-MS4A2,0.0016456390565002,0.0025773195876288,0.0035826242722794,0.0071187710753091,0.0017985611510791,0.0
ADH1B-KIT,0.0017094017094017,0.0019792182088075,0.0035087719298245,0.0040768782760629,0.0011135857461024,0.0
ADH1B-SLC18A2,0.0008635578583765,0.0014970059880239,0.0007147962830593,0.0040276179516685,0.0005518763796909,0.0
ADH1B-IL1RL1,0.0,0.0010330578512396,0.0014792899408284,0.0036253776435045,0.0,0.0
ADH1B-HDC,0.0009267840593141,0.0,0.0007552870090634,0.0012430080795525,0.0,0.0
ADH1B-RHEX,0.0033353547604608,0.0077854671280276,0.0062876604663348,0.0156419726265479,0.0034573927191376,0.0003869969040247
OGN-CPA3,0.0026143790849673,0.0051724137931034,0.0027258566978193,0.0075120192307692,0.0025316455696202,0.0
OGN-MS4A2,0.0017406440382941,0.0034440344403444,0.0049865746068277,0.0079123554473524,0.0014100394811054,0.0
OGN-KIT,0.0037383177570093,0.007693951699081,0.0059016393442622,0.0111534276387377,0.0022738756947953,0.0002367984844896
OGN-SLC18A2,0.003441494591937,0.0052748473070516,0.0030224525043177,0.0059274755927475,0.001946156341226,0.0003038590094196
OGN-HDC,0.0042275172943889,0.006401766004415,0.0029811195760185,0.0081855388813096,0.003585147247119,0.0002411381721726
SFRP2-CPA3,0.001021972406745,0.0017311021350259,0.000902934537246,0.0036751194413818,0.0013661202185792,0.0003180661577608
SFRP2-MS4A2,0.0020597322348094,0.0014496955639315,0.0009153318077803,0.0018201674554058,0.0006791171477079,0.0
SFRP2-KIT,0.0005257623554153,0.0005911912503694,0.0,0.0018775816748028,0.0006983240223463,0.0
SFRP2-IL1RL1,0.0005359056806002,0.0012091898428053,0.0014224751066856,0.0007645259938837,0.0003552397868561,0.0
